codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
00.2.500.7050,Emendas Parlamentares - Hélio Rodrigues,2025,5,
00.2.500.7051,Emendas Parlamentares - Xexéu Tripoli,2025,5,
00.2.500.7052,Emendas Parlamentares - Jorge Wilson Filho,2025,5,
00.2.500.7053,Emendas Parlamentares - Eliseu Gabriel,2025,5,
00.2.500.7054,Emendas Parlamentares - Thammy Miranda,2025,5,
00.2.500.7055,Emendas Parlamentares - Missionário José Olimpio,2025,5,
00.2.500.7058,Emendas Parlamentares - Antonio Donato,2025,5,
00.2.500.7059,Emendas Parlamentares - Beto do Social,2025,5,
00.2.500.7060,Emendas Parlamentares - Eduardo Suplicy,2025,5,
00.2.500.7061,Emendas Parlamentares - Ricardo Teixeira,2025,5,
00.2.500.7062,Emendas Parlamentares - Armandinho Ferreiro,2025,5,
00.2.500.7063,Emendas Parlamentares - Adriano Santos,2025,5,
00.2.500.7999,Ações Governamentais,2025,5,
00.2.500.9001,Recursos não vinculados de Impostos,2025,5,
00.2.500.9003,Recursos de Imposto de Renda Retido na Fonte - IRRF,2025,5,
00.2.501.7001,Emendas Parlamentares - Eli Corrêa,2025,5,
00.2.501.7002,Emendas Parlamentares - João Ananias,2025,5,
00.2.501.7003,Emendas Parlamentares - Bombeiro Major Palumbo,2025,5,
00.2.501.7004,Emendas Parlamentares - Alessandro Guedes,2025,5,
00.2.501.7006,Emendas Parlamentares - Dr. Milton Ferreira,2025,5,
00.2.501.7007,Emendas Parlamentares - André Santos,2025,5,
00.2.501.7008,Emendas Parlamentares - Arselino Tatto,2025,5,
00.2.501.7011,Emendas Parlamentares - Danilo do Posto de Saúde,2025,5,
00.2.501.7012,Emendas Parlamentares - Elaine Mineiro,2025,5,
00.2.501.7013,Emendas Parlamentares - Manoel Del Rio,2025,5,
00.2.501.7014,Emendas Parlamentares - Atílio Francisco,2025,5,
00.2.501.7015,Emendas Parlamentares - Ely Teruel,2025,5,
00.2.501.7016,Emendas Parlamentares - George Hato,2025,5,
00.2.501.7018,Emendas Parlamentares - Fábio Riva,2025,5,
00.2.501.7019,Emendas Parlamentares - Jussara Basso,2025,5,
00.2.501.7020,Emendas Parlamentares - Fernando Holiday,2025,5,
00.2.501.7021,Emendas Parlamentares - Coronel Salles,2025,5,
00.2.501.7025,Emendas Parlamentares - Roberto Tripoli,2025,5,
