codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,_codOrgao_consultado
20,Fundo Esp. p Modernização da Adm.Tributária e Adm.Fazendária do Mun SP,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
30,Departamento da Contadoria,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
40,Departamento Jurídico Fiscal,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
50,Departamento de Rendas Imobiliárias,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
60,Departamento de Rendas Mobiliárias,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
70,Departamento do Tesouro,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
10,Gabinete do Secretário,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
11,Posto Avançado Centro,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
12,Posto Avançado Butantã,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
13,Posto Avançado Ipiranga/Jabaquara/Vila Prudente,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
14,Posto Avançado Tatuapé/Penha/Moóca,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
15,Posto Avançado Itaquera/Guaianases,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
16,Posto Avançado São Miguel,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
17,Posto Avançado Nossa Senhora do Ó/Santana/Tucuruvi,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
18,Posto Avançado Pirituba/Perus,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
19,Posto Avançado Santo Amaro,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
20,Posto Avançado Campo Limpo,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
21,Hosp. Munic. Maternidade Escola Dr. Mário de Moraes Altenfelder Silva,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
22,Coordenação de Vigilância em Saúde,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
23,Coordenadoria Regional de Saúde Norte,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
24,Coordenadoria Regional de Saúde Sul,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
25,Coordenadoria Regional de Saúde Sudeste,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
26,Coordenadoria Regional de Saúde Leste,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
27,Coordenadoria Regional de Saúde Centro - Oeste,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
28,Coordenadoria Regional de Saúde Centro,18,Secretaria Municipal da Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,18
10,Gabinete do Secretário,19,Secretaria Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,19
20,"Departamento de Promoções Esportivas, Lazer e Recreação",19,Secretaria Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,19
30,Departamento de Unidades Educacionais,19,Secretaria Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,19
40,Departamento de Unidades Esportivas Autônomas,19,Secretaria Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,19
73,Secretaria Executiva de Lazer,19,Secretaria Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,19
10,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
11,Administração do Departamento de Transportes Públicos - DTP,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
12,Administração do Departamento do Sistema Viário - DSV,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
20,Departamento de Operações do Sistema Viário,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
30,Departamento de Transportes Internos,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
40,Departamento de Transportes Públicos,20,Secretaria Municipal de Mobilidade Urbana e Transporte - SMT,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,20
